Laptop Brand,State,CPU,Generation,CPU Model,Screen Resolution,Memory Card,Memory Card Gen,Storage,Storage Model,GPU,Screen Size,Genuine Windows,Backlit keyboard,Price
Dell,New,Core i7,13,H,FHD,16GB,DDR5,1TB,SSD,RTX4060,15.6,Yes,Yes,1475
Asus,New,Core i3,12,U,FHD,4GB,DDR4,256GB,SSD,Built-in,15.6,No,No,360
Asus,New,Core i7,12,H,FHD,16GB,DDR5,512GB,SSD,RTX3070,15.6,Yes,Yes,1225
Lenovo,New,Core i3,12,U,FHD,4GB,DDR4,256GB,SSD,Built-in,15.6,No,No,330
Acer,Used,Core i5,10,H,FHD,8GB,DDR4,512GB,SSD,GTX1650,15.6,Yes,Yes,495
Hp,New,Core i7,13,H,FHD,16GB,DDR5,512GB,SSD,RTX4070,15.6,No,Yes,1700
Acer,New,Core i5,11,U,FHD,8GB,DDR4,256GB,SSD,MX350,15.6,No,No,435
Hp,Used,Core i5,12,H,FHD,8GB,DDR5,512GB,SSD,RTX3050,15.6,Yes,Yes,735
Asus,Used,Core i7,9,H,FHD,16GB,DDR4,512GB,SSD,GTX1660,15.6,Yes,Yes,699
Dell,Used,Core i7,11,H,QHD,16GB,DDR4,512GB,SSD,RTX3060,15.6,No,Yes,825
Acer,Used,Core i7,10,H,FHD,16GB,DDR4,512GB,SSD,RTX2060,15.6,Yes,Yes,700
Asus,Used,Core i7,11,H,FHD,16GB,DDR4,1TB,SSD,RTX3070,15.6,Yes,No,950
Acer,Used,Core i7,10,H,FHD,16GB,DDR4,512GB,SSD,GTX1650,15.6,Yes,Yes,599
Acer,New,Core i5,12,U,FHD,8GB,DDR4,512GB,SSD,MX550,15.6,No,No,495
Lenovo,New,Core i5,11,H,FHD,8GB,DDR4,256GB,SSD,RTX3050,15.6,No,Yes,735
Acer,New,Core i5,11,U,FHD,8GB,DDR4,256GB,SSD,Built-in,15.6,No,No,400
Asus,Used,Core i5,10,U,HD,8GB,DDR4,256GB,SSD,MX130,15.6,No,No,380
Lenovo,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3060,15.6,No,Yes,1090
Hp,New,Core i5,12,H,FHD,8GB,DDR5,512GB,SSD,GTX1650,15.6,No,Yes,700
Lenovo,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3050,15.6,No,Yes,950
MSI,New,Core i7,12,H,FHD,16GB,DDR4,1TB,SSD,RTX3070,15.6,Yes,Yes,1350
Lenovo,New,Core i7,12,H,QHD,16GB,DDR5,1TB,SSD,RTX3060,15.6,No,Yes,1290
Lenovo,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3060,15.6,No,Yes,1150
MSI,New,Core i7,13,H,FHD,16GB,DDR5,1TB,SSD,RTX4050,15.6,Yes,Yes,1250
Lenovo,New,Core i5,12,H,FHD,16GB,DDR5,512GB,SSD,RTX3050,15.6,No,Yes,910
Asus,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3050,15.6,Yes,Yes,1050
Asus,New,Core i7,12,H,FHD,16GB,DDR5,512GB,SSD,RTX3070,15.6,Yes,Yes,1275
Hp,New,Core i5,12,U,FHD,8GB,DDR4,512GB,SSD,MX550,15.6,No,No,535
MSI,New,Core i5,11,H,FHD,8GB,DDR4,512GB,SSD,GTX1650,15.6,No,Yes,635
Asus,New,Core i5,11,H,FHD,8GB,DDR4,512GB,SSD,RTX2050,15.6,No,Yes,675
Hp,New,Core i5,13,H,FHD,16GB,DDR4,512GB,SSD,RTX2050,15.6,No,Yes,750
Asus,New,Core i5,11,H,FHD,8GB,DDR4,512GB,SSD,RTX3050,15.6,No,Yes,775
Hp,New,Core i5,13,H,FHD,8GB,DDR4,512GB,SSD,RTX3050,15.6,No,Yes,800
Lenovo,Used,Core i5,9,H,FHD,8GB,DDR4,256GB,SSD,GTX1050,15.6,No,No,480
Asus,Used,Core i5,6,U,HD,8GB,DDR3,512GB,HDD,Built-in,15.6,No,No,250
Lenovo,Used,Core i5,7,H,HD,16GB,DDR3,256GB,SSD,GTX1050,15.6,No,No,450
Hp,Used,Core i5,7,U,HD,8GB,DDR3,256GB,HDD,Built-in,14,No,No,225
Dell,Used,Core i7,7,U,HD,8GB,DDR3,256GB,SSD,GTX930,15.6,No,No,380
Hp,Used,Core i7,7,U,HD,8GB,DDR3,256GB,SSD,Built-in,14,Yes,No,350
Lenovo,Used,Core i5,7,U,HD,4GB,DDR3,256GB,SSD,Built-in,15.6,No,No,310
Hp,New,Core i7,10,H,FHD,16GB,DDR4,512GB,SSD,RTX2060,15.6,No,No,800
Dell,Used,Core i7,11,U,FHD,8GB,DDR4,512GB,SSD,MX350,15.6,No,No,550
Acer,Used,Core i7,10,H,FHD,16GB,DDR4,512GB,SSD,RTX2060,15.6,No,No,740
Acer,Used,Core i5,10,H,FHD,8GB,DDR4,512GB,SSD,GTX1650,15.6,No,No,570
Hp,Used,Core i5,10,U,FHD,8GB,DDR4,512GB,SSD,Built-in,15.6,Yes,No,495
Dell,Used,Core i5,6,U,HD,8GB,DDR3,256GB,SSD,Built-in,15.6,No,No,250
Dell,Used,Core i7,6,U,HD,8GB,DDR3,256GB,SSD,GTX930,15.6,Yes,No,385
Dell,Used,Core i5,6,U,HD,8GB,DDR3,256GB,SSD,Built-in,14,No,No,180
Dell,Used,Core i5,8,U,HD,8GB,DDR3,512GB,SSD,Built-in,14,Yes,No,325
Dell,Used,Core i7,7,U,HD,16GB,DDR3,256GB,SSD,Built-in,14,Yes,No,375
Hp,Used,Core i5,6,U,HD,8GB,DDR3,256GB,SSD,Built-in,14,Yes,No,215
Dell,Used,Core i5,6,U,HD,8GB,DDR3,256GB,SSD,Built-in,14,Yes,No,285
Lenovo,Used,Core i7,7,U,HD,16GB,DDR3,256GB,SSD,Built-in,14,No,No,260
Hp,Used,Core i5,10,U,HD,8GB,DDR4,512GB,SSD,Built-in,14,Yes,No,480
Dell,Used,Core i5,8,U,HD,8GB,DDR3,512GB,SSD,Built-in,14,Yes,No,315
Lenovo,Used,Core i5,6,U,HD,12GB,DDR3,256GB,SSD,Built-in,14,No,No,200
Dell,Used,Core i7,6,H,HD,32GB,DDR3,1TB,SSD,GTX1050,15.6,No,No,650
Hp,Used,Core i5,6,U,HD,8GB,DDR3,256GB,HDD,Built-in,14,No,No,225
Dell,Used,Core i7,8,U,HD,16GB,DDR3,512GB,SSD,Built-in,14,No,No,400
Hp,Used,Core i5,7,U,HD,12GB,DDR3,256GB,SSD,Built-in,15.6,Yes,No,350
Hp,Used,Core i5,10,U,HD,16GB,DDR4,512GB,SSD,Built-in,15.6,No,No,465
Lenovo,Used,Core i5,10,U,FHD,8GB,DDR3,256GB,SSD,Built-in,14,No,No,430
Hp,Used,Core i7,8,U,FHD,16GB,DDR3,512GB,SSD,Built-in,14,Yes,No,415
Lenovo,Used,Core i7,7,U,HD,16GB,DDR3,256GB,HDD,Built-in,14,No,No,220
Dell,Used,Core i9,9,H,FHD,32GB,DDR4,1TB,SSD,GTX1650,15.6,No,No,875
Lenovo,Used,Core i7,8,U,HD,12GB,DDR3,256GB,SSD,Built-in,15.6,No,No,380
Lenovo,Used,Core i7,8,U,HD,16GB,DDR3,256GB,SSD,Built-in,14,No,No,290
Dell,Used,Core i3,7,U,HD,8GB,DDR3,256GB,SSD,Built-in,14,No,No,199
Lenovo,Used,Core i5,7,U,HD,8GB,DDR3,256GB,SSD,Built-in,14,No,No,270
Lenovo,Used,Core i3,6,U,HD,8GB,DDR3,256GB,SSD,Built-in,14,No,No,150
Lenovo,Used,Core i5,10,U,HD,8GB,DDR4,512GB,SSD,Built-in,14,No,No,385
Lenovo,Used,Core i5,8,U,HD,16GB,DDR3,256GB,SSD,Built-in,14,No,No,430
Hp,Used,Core i5,10,H,FHD,16GB,DDR4,256GB,SSD,GTX1650,15.6,No,No,520
Lenovo,Used,Core i3,8,U,HD,8GB,DDR3,256GB,SSD,Built-in,14,No,No,245
Lenovo,Used,Core i7,8,U,FHD,8GB,DDR3,256GB,SSD,Built-in,14,No,No,330
Hp,Used,Core i7,7,U,HD,8GB,DDR3,512GB,SSD,Built-in,14,No,No,260
Hp,New,Core i5,12,U,FHD,8GB,DDR4,512GB,SSD,MX550,15.6,No,No,530
Hp,New,Core i3,12,U,FHD,4GB,DDR4,256GB,SSD,Built-in,15.6,No,No,330
Dell,Used,Core i7,7,U,HD,8GB,DDR3,256GB,SSD,GTX930,15.6,No,No,340
Dell,Used,Core i7,9,U,HD,16GB,DDR4,512GB,SSD,Built-in,15.6,No,Yes,430
Hp,Used,Core i5,12,U,FHD,8GB,DDR4,256GB,SSD,MX350,15.6,No,Yes,480
Hp,Used,Core i3,8,U,FHD,4GB,DDR4,256GB,HDD,Built-in,14,No,No,200
Acer,Used,Core i5,10,U,FHD,8GB,DDR4,512GB,SSD,Built-in,15.6,No,No,410
Hp,Used,Core i7,8,U,HD,16GB,DDR3,512GB,SSD,MX130,15.6,No,No,375
Dell,Used,Core i5,9,H,FHD,16GB,DDR4,512GB,SSD,RTX2060,17.3,No,No,600
MSI,Used,Core i5,11,H,FHD,16GB,DDR4,512GB,SSD,GTX1650,15.6,No,No,575
Dell,New,Core i7,12,U,FHD,8GB,DDR4,512GB,SSD,MX550,15.6,No,No,650
Asus,New,Core i3,11,U,FHD,4GB,DDR4,256GB,SSD,Built-in,15.6,Yes,No,350
Asus,New,Core i5,11,U,FHD,8GB,DDR4,512GB,SSD,MX350,15.6,Yes,No,550
Asus,New,Core i7,12,H,FHD,16GB,DDR5,1TB,SSD,RTX3060,15.6,No,Yes,1200
Dell,New,Core i5,12,H,FHD,8GB,DDR5,512GB,SSD,RTX3050,15.6,Yes,No,840
Hp,New,Core i5,12,U,FHD,8GB,DDR4,512GB,SSD,MX550,15.6,Yes,No,570
Hp,New,Core i7,11,U,FHD,8GB,DDR4,512GB,SSD,MX550,15.6,Yes,No,625
Hp,New,Core i5,13,U,FHD,8GB,DDR4,512GB,SSD,GTX1650,14,Yes,No,790
Hp,New,Core i5,13,H,FHD,8GB,DDR4,512GB,SSD,RTX3050,15.6,Yes,No,920
Hp,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3050,15.6,Yes,No,993
Lenovo,New,Core i3,11,U,FHD,8GB,DDR4,1TB,HDD,Built-in,15.6,Yes,No,328
Lenovo,New,Core i3,12,U,FHD,4GB,DDR4,256GB,SSD,Built-in,15.6,Yes,No,345
Lenovo,New,Core i5,11,U,FHD,8GB,DDR4,256GB,SSD,MX350,15.6,Yes,No,505
Lenovo,New,Core i5,11,U,FHD,8GB,DDR4,512GB,SSD,MX350,15.6,Yes,No,530
Lenovo,New,Core i7,11,U,FHD,8GB,DDR4,512GB,SSD,MX550,15.6,Yes,No,615
Lenovo,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3050,15.6,Yes,No,1100
Lenovo,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3060,15.6,Yes,No,1100
Lenovo,New,Core i7,13,H,QHD,16GB,DDR5,512GB,SSD,RTX4050,15.6,Yes,Yes,1240
Lenovo,New,Core i7,13,H,FHD,16GB,DDR5,512GB,SSD,RTX4060,15.6,Yes,Yes,1243
Lenovo,New,Core i9,12,H,QHD,16GB,DDR5,512GB,SSD,RTX3060,15.6,Yes,Yes,1475
MSI,New,Core i5,10,H,FHD,8GB,DDR4,256GB,SSD,GTX1650,15.6,Yes,Yes,625
MSI,New,Core i5,11,H,FHD,8GB,DDR4,512GB,SSD,GTX1650,15.6,Yes,Yes,685
MSI,New,Core i7,12,H,FHD,16GB,DDR4,1TB,SSD,RTX3060,15.6,Yes,Yes,1150
MSI,New,Core i7,12,H,QHD,16GB,DDR4,1TB,SSD,RTX3060,15.6,Yes,Yes,1245
MSI,New,Core i7,13,H,FHD,16GB,DDR5,512GB,SSD,RTX4050,15.6,Yes,Yes,1195
Acer,New,Core i5,12,H,FHD,8GB,DDR4,512GB,SSD,RTX3050,15.6,Yes,No,870
Acer,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3060,15.6,Yes,Yes,1150
